API,Series,Date,Value
INTL.57-1-MEX-TBPD.M,453.0,1975-01-01,660.0
INTL.57-1-USA-TBPD.M,9175.935,1975-01-01,8454.968
INTL.57-1-WORL-TBPD.M,54389.0,1975-02-01,51408.0
INTL.57-1-MEX-TBPD.M,453.0,1975-02-01,671.0
INTL.57-1-USA-TBPD.M,9175.935,1975-02-01,8591.143
INTL.57-1-WORL-TBPD.M,54389.0,1975-03-01,51326.0
INTL.57-1-MEX-TBPD.M,453.0,1975-03-01,673.0
INTL.57-1-USA-TBPD.M,9175.935,1975-03-01,8493.452
INTL.57-1-WORL-TBPD.M,54389.0,1975-04-01,50946.0
INTL.57-1-MEX-TBPD.M,453.0,1975-04-01,673.0
INTL.57-1-USA-TBPD.M,9175.935,1975-04-01,8456.6
INTL.57-1-WORL-TBPD.M,54389.0,1975-05-01,51181.0
INTL.57-1-MEX-TBPD.M,453.0,1975-05-01,693.0
INTL.57-1-USA-TBPD.M,9175.935,1975-05-01,8378.774
INTL.57-1-WORL-TBPD.M,54389.0,1975-06-01,52475.0
INTL.57-1-MEX-TBPD.M,453.0,1975-06-01,732.0
INTL.57-1-USA-TBPD.M,9175.935,1975-06-01,8420.8
INTL.57-1-WORL-TBPD.M,54389.0,1975-07-01,53856.0
INTL.57-1-MEX-TBPD.M,453.0,1975-07-01,781.0
INTL.57-1-USA-TBPD.M,9175.935,1975-07-01,8335.742
INTL.57-1-WORL-TBPD.M,54389.0,1975-08-01,55017.0
INTL.57-1-MEX-TBPD.M,453.0,1975-08-01,686.0
INTL.57-1-USA-TBPD.M,9175.935,1975-08-01,8248.774
INTL.57-1-WORL-TBPD.M,54389.0,1975-09-01,56741.0
INTL.57-1-MEX-TBPD.M,453.0,1975-09-01,703.0
INTL.57-1-USA-TBPD.M,9175.935,1975-09-01,8279.633
INTL.57-1-WORL-TBPD.M,54389.0,1975-10-01,51389.0
INTL.57-1-MEX-TBPD.M,453.0,1975-10-01,712.0
INTL.57-1-USA-TBPD.M,9175.935,1975-10-01,8324.419
INTL.57-1-WORL-TBPD.M,54389.0,1975-11-01,53192.0
INTL.57-1-MEX-TBPD.M,453.0,1975-11-01,732.0
INTL.57-1-USA-TBPD.M,9175.935,1975-11-01,8277.867
INTL.57-1-WORL-TBPD.M,54389.0,1975-12-01,53916.0
INTL.57-1-MEX-TBPD.M,453.0,1975-12-01,742.0
INTL.57-1-USA-TBPD.M,9175.935,1975-12-01,8253.548
INTL.57-1-WORL-TBPD.M,54389.0,1976-01-01,53133.0
INTL.57-1-MEX-TBPD.M,453.0,1976-01-01,774.0
INTL.57-1-USA-TBPD.M,9175.935,1976-01-01,8231.774
INTL.57-1-WORL-TBPD.M,54389.0,1976-02-01,54565.0
INTL.57-1-MEX-TBPD.M,453.0,1976-02-01,774.0
INTL.57-1-USA-TBPD.M,9175.935,1976-02-01,8231.207
INTL.57-1-WORL-TBPD.M,54389.0,1976-03-01,55927.0
INTL.57-1-MEX-TBPD.M,453.0,1976-03-01,774.0
INTL.57-1-USA-TBPD.M,9175.935,1976-03-01,8232.194
INTL.57-1-WORL-TBPD.M,54389.0,1976-04-01,54905.0
INTL.57-1-MEX-TBPD.M,453.0,1976-04-01,785.0
INTL.57-1-USA-TBPD.M,9175.935,1976-04-01,8077.0
INTL.57-1-WORL-TBPD.M,54389.0,1976-05-01,55140.0
INTL.57-1-MEX-TBPD.M,453.0,1976-05-01,805.0
INTL.57-1-USA-TBPD.M,9175.935,1976-05-01,8124.516
INTL.57-1-WORL-TBPD.M,54389.0,1976-06-01,56950.0
